order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,order_channel,promo_code,order_status
ORD000001,2025-12-26,CUST00262,PROD0151,2,6800,0.221,COD,Website,NONE,Delivered
ORD000002,2025-02-15,CUST00430,PROD0206,2,4350,0.1182,Credit Card,Mobile App,NONE,Delivered
ORD000003,2025-11-15,CUST00906,PROD0067,1,5200,0.14,UPI,Mobile App,FESTIVE15,Delivered
ORD000004,2025-04-06,CUST00264,PROD0120,2,5900,0.1069,Credit Card,Website,BANK5,Delivered
ORD000005,2025-06-26,CUST00212,PROD0154,3,7150,0.1321,Credit Card,Marketplace,NONE,Delivered
ORD000006,2025-11-15,CUST00664,PROD0266,1,4200,0.083,UPI,Mobile App,FESTIVE15,Delivered
ORD000007,2025-12-08,CUST00509,PROD0003,1,34850,0.1188,UPI,Mobile App,FESTIVE15,Delivered
ORD000008,2025-02-18,CUST00470,PROD0063,2,10650,0,UPI,Website,FESTIVE15,Processing
ORD000009,2025-12-27,CUST00162,PROD0081,1,650,0.0991,Credit Card,Mobile App,FESTIVE15,Delivered
ORD000010,2025-06-21,CUST00158,PROD0077,1,3400,0.0917,UPI,Mobile App,APPONLY10,Delivered
ORD000011,2025-06-25,CUST00833,PROD0044,2,15700,0.1251,Wallet,Website,NONE,Delivered
ORD000012,2025-04-12,CUST00273,PROD0176,2,8150,0.1514,COD,Mobile App,NONE,Delivered
ORD000013,2025-11-07,CUST00930,PROD0201,2,1550,0.0884,UPI,Mobile App,NONE,Delivered
ORD000014,2025-09-11,CUST00789,PROD0164,2,2150,0.111,UPI,Marketplace,BANK5,Delivered
ORD000015,2025-10-30,CUST00256,PROD0217,1,3650,0.1423,UPI,Mobile App,NONE,Delivered
ORD000016,2025-05-12,CUST00890,PROD0246,1,1400,0.0919,Debit Card,Website,FESTIVE15,Delivered
ORD000017,2025-06-12,CUST00909,PROD0111,1,5950,0.0559,Debit Card,Website,FESTIVE15,Delivered
ORD000018,2025-12-21,CUST00954,PROD0068,1,6550,0.1486,UPI,Mobile App,FESTIVE15,Delivered
ORD000019,2025-09-26,CUST00170,PROD0051,2,25200,0.1215,UPI,Mobile App,NONE,Processing
ORD000020,2025-09-25,CUST00485,PROD0208,1,3600,0.0961,Debit Card,Website,BANK5,Delivered
ORD000021,2025-10-17,CUST00524,PROD0164,2,2150,0.1754,Debit Card,Mobile App,NONE,Delivered
ORD000022,2025-07-31,CUST00814,PROD0172,2,6650,0.1585,Net Banking,Marketplace,NONE,Delivered
ORD000023,2025-11-12,CUST00362,PROD0013,3,28500,0.075,UPI,Mobile App,NONE,Delivered
ORD000024,2025-02-21,CUST00380,PROD0136,1,8500,0.1083,Credit Card,Website,APPONLY10,Delivered
ORD000025,2025-11-30,CUST00944,PROD0299,1,2650,0.0953,Net Banking,Marketplace,WELCOME10,Delivered
ORD000026,2025-03-01,CUST00513,PROD0216,2,3100,0.1128,UPI,Website,SAVE20,Delivered
ORD000027,2025-06-02,CUST00299,PROD0057,1,1850,0.1098,Credit Card,Website,NONE,Delivered
ORD000028,2025-11-19,CUST00901,PROD0022,1,34100,0.1062,Credit Card,Website,APPONLY10,Delivered
