product_id,product_name,category,subcategory,brand,product_tier,list_price,unit_cost,launch_date,rating
PROD0001,Sony Wireless Earbuds Lite,Electronics,Audio,Sony,Core,22600,7410,2023-09-13,3.1
PROD0002,Sony Bluetooth Speaker Plus,Electronics,Audio,Sony,Premium,32450,14380,2025-05-26,4.7
PROD0003,JBL Smartwatch Pro,Electronics,Wearables,JBL,Premium,34850,16000,2025-05-09,4.2
PROD0004,Apple Mechanical Keyboard Max,Electronics,Computer Accessories,Apple,Premium,29950,10750,2024-02-29,4.8
PROD0005,Philips Wireless Mouse Classic,Electronics,Computer Accessories,Philips,Premium,31400,15010,2024-09-24,4.6
PROD0006,JBL USB-C Hub Prime,Electronics,Computer Accessories,JBL,Core,20300,11540,2025-07-16,4.1
PROD0007,Samsung Power Bank 20000mAh Air,Electronics,Mobile Accessories,Samsung,Value,10450,5710,2023-04-11,3.9
PROD0008,Sony Fast Charger 65W Elite,Electronics,Mobile Accessories,Sony,Core,20150,11590,2025-02-24,3.1
PROD0009,Sony Noise Cancelling Headphones Essential,Electronics,Audio,Sony,Value,10950,4620,2025-07-29,4.2
PROD0010,Sony 4K Streaming Stick Studio,Electronics,Smart Devices,Sony,Core,18200,6020,2024-01-25,3.8
PROD0011,Apple Smart LED Bulb 2-Pack Lite,Electronics,Smart Home,Apple,Premium,27700,14650,2024-09-26,5
PROD0012,Apple Portable SSD 1TB Plus,Electronics,Storage,Apple,Value,1350,550,2024-03-23,4.4
PROD0013,JBL Wireless Earbuds Pro,electronics,Audio,JBL,Premium,28500,18090,2023-03-01,3.9
PROD0014,Apple Bluetooth Speaker Max,Electronics,Audio,Apple,Core,20350,8650,2023-09-06,4.1
PROD0015,Samsung Smartwatch Classic,Electronics,Wearables,Samsung,Core,19700,10000,2023-12-04,4.1
PROD0016,Logitech Mechanical Keyboard Prime,Electronics,Computer Accessories,Logitech,Core,19050,6640,2025-01-13,4.9
PROD0017,Samsung Wireless Mouse Air,Electronics,Computer Accessories,Samsung,Core,22600,13670,2024-09-02,4
PROD0018,JBL USB-C Hub Elite,Electronics,Computer Accessories,JBL,Core,17950,10630,2025-06-03,4
PROD0019,Samsung Power Bank 20000mAh Essential,Electronics,Mobile Accessories,Samsung,Premium,30300,15760,2025-06-19,4.4
PROD0020,OnePlus Fast Charger 65W Studio,Electronics,Mobile Accessories,OnePlus,Value,10700,4680,2024-07-05,3.9
PROD0021,Philips Noise Cancelling Headphones Lite,Electronics,Audio,Philips,Premium,30850,18910,2025-06-01,3.9
PROD0022,OnePlus 4K Streaming Stick Plus,Electronics,Smart Devices,OnePlus,Premium,34100,11980,2023-06-15,4.2
PROD0023,boAt Smart LED Bulb 2-Pack Pro,Electronics,Smart Home,boAt,Value,5900,2710,2023-04-03,4.4
PROD0024,Sony Portable SSD 1TB Max,Electronics,Storage,Sony,Core,19600,11500,2025-03-17,4
PROD0025,boAt Wireless Earbuds Classic,Electronics,Audio,boAt,Core,25000,14170,2024-06-14,4.9
PROD0026,boAt Bluetooth Speaker Prime,Electronics,Audio,boAt,Value,8400,2950,2025-02-17,4.3
PROD0027,Sony Smartwatch Air,Electronics,Wearables,Sony,Value,7800,4980,2024-05-12,4.2
PROD0028,Apple Mechanical Keyboard Elite,Electronics,Computer Accessories,Apple,Core,23350,14080,2025-03-03,3.6
PROD0029,boAt Wireless Mouse Essential,Electronics,Computer Accessories,boAt,Premium,25650,9600,2024-06-15,4.3
PROD0030,Sony USB-C Hub Studio,Electronics,Computer Accessories,Sony,Core,15400,5700,2024-04-09,3.9
PROD0031,JBL Power Bank 20000mAh Lite,Electronics,Mobile Accessories,JBL,Core,12450,4900,2023-07-27,4.7
PROD0032,OnePlus Fast Charger 65W Plus,Electronics,Mobile Accessories,OnePlus,Core,14500,5980,2024-12-26,4.5
PROD0033,Apple Noise Cancelling Headphones Pro,Electronics,Audio,Apple,Premium,30800,18690,2024-10-10,3.5
PROD0034,Samsung 4K Streaming Stick Max,Electronics,Smart Devices,Samsung,Value,1950,1030,2024-04-15,4.6
PROD0035,Apple Smart LED Bulb 2-Pack Classic,Electronics,Smart Home,Apple,Core,17800,7730,2024-03-23,4.2
PROD0036,Philips Portable SSD 1TB Prime,Electronics,Storage,Philips,Core,18050,8860,2024-07-13,4.2
PROD0037,Sony Wireless Earbuds Air,Electronics,Audio,Sony,Core,20250,6800,2023-06-26,4.3
PROD0038,OnePlus Bluetooth Speaker Elite,Electronics,Audio,OnePlus,Core,23350,11860,2023-12-05,4.2
PROD0039,Apple Smartwatch Essential,Electronics,Wearables,Apple,Value,3850,1860,2024-07-20,4.6
PROD0040,Samsung Mechanical Keyboard Studio,Electronics,Computer Accessories,Samsung,Core,16400,7560,2023-12-14,4.7
PROD0041,Samsung Wireless Mouse Lite,Electronics,Computer Accessories,Samsung,Core,25300,15230,2023-09-25,4.1
PROD0042,Samsung USB-C Hub Plus,Electronics,Computer Accessories,Samsung,Premium,30050,16360,2023-03-20,4
PROD0043,Apple Power Bank 20000mAh Pro,Electronics,Mobile Accessories,Apple,Value,10000,5750,2024-07-07,4.4
PROD0044,Logitech Fast Charger 65W Max,Electronics,Mobile Accessories,Logitech,Core,15700,8820,2024-08-02,4.1
PROD0045,Philips Noise Cancelling Headphones Classic,Electronics,Audio,Philips,Premium,26400,13080,2024-08-23,3.6
PROD0046,Sony 4K Streaming Stick Prime,Electronics,Smart Devices,Sony,Premium,29400,11940,2025-07-15,4.9
PROD0047,Samsung Smart LED Bulb 2-Pack Air,Electronics,Smart Home,Samsung,Core,15600,6110,2025-01-17,4.4
PROD0048,Philips Portable SSD 1TB Elite,Electronics,Storage,Philips,Premium,32250,16930,2023-08-17,4
PROD0049,Philips Wireless Earbuds Essential,Electronics,Audio,Philips,Premium,32850,12830,2025-08-24,3.9
PROD0050,Samsung Bluetooth Speaker Studio,Electronics,Audio,Samsung,Core,19950,8570,2023-05-09,3.6
PROD0051,boAt Smartwatch Lite,Electronics,Wearables,boAt,Core,25200,8940,2025-08-02,4.2
PROD0052,Philips Mechanical Keyboard Plus,Electronics,Computer Accessories,Philips,Value,11600,7270,2024-06-03,4.2
PROD0053,Sony Wireless Mouse Pro,Electronics,Computer Accessories,Sony,Value,9650,5340,2025-06-09,3.5
PROD0054,Philips USB-C Hub Max,Electronics,Computer Accessories,Philips,Core,22150,13640,2025-02-21,4.4
PROD0055,Logitech Power Bank 20000mAh Classic,Electronics,Mobile Accessories,Logitech,Core,15000,5740,2023-03-17,4.3
PROD0056,Apple Fast Charger 65W Prime,Electronics, Home Appliances ,Apple,Core,14100,4980,2023-02-10,5
PROD0057,boAt Noise Cancelling Headphones Air,Electronics,Audio,boAt,Value,1850,1020,2025-07-20,3.9
PROD0058,JBL 4K Streaming Stick Elite,Electronics,Smart Devices,JBL,Value,6200,3740,2023-02-08,3.9
PROD0059,boAt Smart LED Bulb 2-Pack Essential,Electronics,Smart Home,boAt,Premium,28800,15080,2023-05-12,4.3
PROD0060,Sony Portable SSD 1TB Studio,Electronics,Storage,Sony,Core,12800,7470,2025-09-01,4.8
PROD0061,Prestige Air Fryer 4.2L Lite,Home,Kitchen Appliances,Prestige,Core,8700,3430,2023-07-31,4.2
PROD0062,Havells Mixer Grinder 750W Plus,Home,Kitchen Appliances,Havells,Core,7150,2770,2025-02-20,4
PROD0063,Wonderchef Electric Kettle 1.5L Pro,Home,Kitchen Appliances,Wonderchef,Premium,10650,4380,2023-04-09,4.6
PROD0064,SleepyCat Vacuum Cleaner Max,Home,Cleaning,SleepyCat,Value,700,280,2023-07-04,4.3
PROD0065,Philips Bedside Lamp Classic,Home,Lighting,Philips,Value,2650,1140,2024-04-07,4.2
PROD0066,IKEA Cotton Bedsheet Set Prime,Home,Bedding,IKEA,Core,7000,4040,2024-11-04,4.1
PROD0067,IKEA Memory Foam Pillow Air,Home,Bedding,IKEA,Core,5200,1690,2025-08-28,4.5
PROD0068,Milton Non-Stick Cookware Set Elite,Home,Cookware,Milton,Core,6550,3660,2025-06-14,4.2
PROD0069,Milton Water Bottle 1L Essential,Home,Kitchenware,Milton,Premium,9600,3780,2025-09-14,3.8
PROD0070,Wonderchef Storage Organizer Set Studio,Home,Storage,Wonderchef,Value,1300,460,2023-10-13,4.4
PROD0071,IKEA Table Fan Lite,Home,Home Appliances,IKEA,Core,7450,3050,2025-03-28,4.6
PROD0072,Philips Insulated Flask 1L Plus,Home,Kitchenware,Philips,Core,9450,3350,2024-02-17,3.6
PROD0073,IKEA Air Fryer 4.2L Pro,Home,Kitchen Appliances,IKEA,Core,6600,2520,2023-06-15,3.9
PROD0074,IKEA Mixer Grinder 750W Max,Home,Kitchen Appliances,IKEA,Premium,12400,4870,2025-03-21,3.9
