return_id,order_id,return_date,return_reason,return_status,refund_amount,return_shipping_cost,restocking_cost
RET00001,ORD000003,2025-12-01,changed mind,Approved,3775.77,75,185.63
RET00002,ORD000007,2025-12-17,Damaged,Approved,29773.37,150,2349.67
RET00003,ORD000022,2025-08-14,Changed Mind,Approved,9294.55,85,715.01
RET00004,ORD000023,2025-11-29,Wrong Item,Approved,78736.04,165,2025.91
RET00005,ORD000039,2025-11-20,Damaged,Approved,23451.49,105,1621.89
RET00006,ORD000041,2025-08-31,Late Delivery,Approved,1794.28,105,79.08
RET00007,ORD000052,2025-08-09,Size/Fit,Approved,1565.28,130,12.99
RET00008,ORD000061,2025-07-13,Late Delivery,Approved,2289.68,50,26.36
RET00009,ORD000085,2025-01-31,Changed Mind,Approved,6595.49,100,339.89
RET00010,ORD000102,2025-08-05,Wrong Item,Approved,465.47,150,31.67
RET00011,ORD000113,2025-09-15,Wrong Item,Approved,65292.24,150,4196.96
RET00012,ORD000115,2025-05-15,Wrong Item,Approved,5195.14,70,359.25
RET00013,ORD000120,2025-03-24,Damaged,Approved,11640.58,90,905.67
RET00014,ORD000125,2025-10-04,Changed Mind,Approved,19744.98,60,506.41
RET00015,ORD000137,2025-12-23,Late Delivery,Approved,12556.88,60,100.25
RET00016,ORD000143,2025-08-28,Changed Mind,Approved,24749.89,55,696.26
RET00017,ORD000156,2025-12-26,Late Delivery,Approved,40326.16,160,3045.86
RET00018,ORD000158,2025-07-09,Changed Mind,Approved,1033.27,90,58.93
RET00019,ORD000177,2025-02-28,Size/Fit,Approved,417.46,85,25.67
RET00020,ORD000209,2025-08-02,Changed Mind,Approved,4045.03,110,119.25
RET00021,ORD000238,2025-07-10,Changed Mind,Approved,13410.97,60,941.01
RET00022,ORD000244,2025-12-25,Wrong Item,Approved,3603.29,60,205.95
RET00023,ORD000259,2025-04-14,Not as Expected,Approved,4581.62,150,248.17
RET00024,ORD000277,2025-04-03,Not as Expected,Approved,841.36,100,66.79
RET00025,ORD000280,2025-11-25,Wrong Item,Approved,20086.92,105,410.22
RET00026,ORD000303,2025-04-07,Size/Fit,Approved,4085.53,145,7.56
RET00027,ORD000314,2025-04-12,Changed Mind,Approved,3306.19,115,209.55
RET00028,ORD000323,2025-05-26,Not as Expected,Approved,5166.11,160,21.25
RET00029,ORD000374,2025-07-16,Wrong Item,Approved,5196.14,150,46.62
RET00030,ORD000375,2025-04-20,Not as Expected,Approved,4607.03,60,287.51
RET00031,ORD000403,2025-04-13,Damaged,Approved,1210.27,130,87.01
